,Negative,comment_score
0,0.9032818532818533,26
1,0.9043217009475387,29
2,0.0,-279
3,0.9166666666666666,-91
4,1.0,1677
5,0.9047619047619048,474
6,1.0,2453
7,1.0,964
8,0.5,-251
9,1.0,1697
10,1.0,2509
11,1.0,1806
12,0.9117291414752116,65
13,0.912621359223301,191
14,0.5,3391
15,1.0,418
16,1.0,541
17,0.8571428571428571,558
18,1.0,3061
19,1.0,2812
20,1.0,1010
21,1.0,1224
22,1.0,1360
23,1.0,2173
24,1.0,1258
25,1.0,3806
26,1.0,1840
27,1.0,3280
28,1.0,1277
29,0.9245283018867925,293
30,0.7966101694915254,-58
31,0.8865979381443299,222
32,0.0,2581
33,0.9152542372881356,270
34,0.5,-109
35,1.0,1145
36,1.0,1127
37,1.0,938
38,0.0,1551
39,0.75,730
40,1.0,8872
41,1.0,1371
42,1.0,9632
43,1.0,1642
44,0.9076923076923077,243
45,0.8717948717948718,367
46,0.9183673469387755,278
47,0.8571428571428571,705
48,1.0,1532
49,1.0,720
50,1.0,442
51,1.0,1175
52,0.5,2944
53,1.0,2598
54,1.0,7303
55,1.0,1202
56,1.0,2371
57,1.0,1690
58,1.0,6905
59,0.8973496003365586,19
60,0.8852459016393442,54
61,1.0,4552
62,1.0,1280
63,0.9555555555555556,296
64,1.0,926
65,1.0,7233
66,1.0,1447
67,0.5,1217
68,1.0,1671
69,0.75,965
70,1.0,3081
71,0.5,-159
72,1.0,1951
73,0.8536716471396291,0
74,0.9375,348
75,0.8913043478260869,277
76,0.9491525423728814,287
77,1.0,-193
78,1.0,415
79,1.0,847
80,1.0,1958
81,0.75,1077
82,1.0,2940
83,1.0,6361
84,1.0,1594
85,1.0,1336
86,1.0,1921
87,1.0,656
88,0.8888888888888888,502
89,1.0,7234
90,0.75,1055
91,1.0,2244
92,1.0,2881
93,1.0,5126
94,1.0,1480
95,1.0,4108
96,0.0,2088
97,0.82995522995523,-3
98,0.9238754325259516,113
99,0.9172413793103448,167
100,0.9531772575250836,112
101,0.8328611898016998,-30
102,0.918918918918919,385
103,0.9382716049382716,155
104,0.9361702127659575,299
105,0.5833333333333334,-118
106,1.0,831
107,1.0,2175
108,0.0,2403
109,0.5,-135
110,1.0,1882
111,1.0,736
112,1.0,2672
113,1.0,1042
114,1.0,1599
115,1.0,2364
116,1.0,2878
117,1.0,7139
118,0.8185483870967742,-35
119,1.0,602
120,0.9333333333333333,237
121,0.8953488372093024,241
122,0.9230769230769231,347
123,0.6666666666666666,588
124,1.0,564
125,1.0,857
126,1.0,2660
127,0.0,1636
128,1.0,1497
129,0.9038571428571428,22
130,0.8571428571428571,-141
131,0.8901098901098901,198
132,1.0,530
133,1.0,1338
134,0.9375,330
135,0.9655172413793104,414
136,1.0,1526
137,0.0,2355
138,0.0,1711
139,0.0,2317
140,0.5,1241
141,1.0,1211
142,1.0,2966
143,0.8888888888888888,724
144,1.0,2263
145,1.0,2612
146,1.0,2489
147,1.0,2681
148,1.0,4235
149,0.9196787148594378,130
150,0.9444444444444444,486
151,0.9411764705882353,196
152,0.8888888888888888,487
153,1.0,427
154,1.0,932
155,0.7971014492753623,-60
156,1.0,823
157,1.0,1157
158,1.0,1059
159,1.0,1050
160,1.0,1374
161,1.0,1152
162,1.0,2828
163,1.0,3821
164,1.0,3125
165,1.0,1972
166,1.0,7226
167,1.0,2282
168,0.0,1428
169,0.8954467531978223,7
170,0.9040650406504065,77
171,0.7918032786885246,-25
172,1.0,677
173,1.0,1527
174,1.0,3243
175,0.75,-209
176,1.0,1353
177,0.0,2720
178,0.0,-334
179,1.0,5690
180,1.0,1873
181,1.0,5446
182,0.912703804347826,34
183,0.6923076923076923,532
184,0.8956521739130435,184
185,1.0,635
186,0.6666666666666666,1529
187,1.0,1540
188,1.0,1041
189,1.0,2577
190,0.8333333333333334,858
191,1.0,8353
192,0.0,1687
193,1.0,1887
194,1.0,1427
195,0.6666666666666666,830
196,0.8532110091743119,-49
197,0.7777777777777778,551
198,1.0,1319
199,0.9047619047619048,463
200,1.0,939
201,1.0,1200
202,1.0,853
203,0.3333333333333333,-190
204,1.0,5913
205,1.0,1471
206,1.0,1329
207,1.0,4147
208,0.0,3634
209,0.9056603773584906,188
210,0.8125,-65
211,0.9285714285714286,693
212,1.0,1458
213,0.8928571428571429,399
214,1.0,1052
215,1.0,1483
216,1.0,1199
217,1.0,1445
218,1.0,5142
219,1.0,3787
220,0.0,3612
221,1.0,2807
222,1.0,2684
223,1.0,2643
224,1.0,8552
225,1.0,2942
226,0.8771929824561403,274
227,0.8787878787878788,126
228,1.0,844
229,0.9285714285714286,202
230,0.9382716049382716,228
231,1.0,1988
232,0.8333333333333334,529
233,1.0,889
234,1.0,3284
235,1.0,6258
236,1.0,2717
237,1.0,1730
238,0.0,5258
239,1.0,6521
240,1.0,2314
241,0.0,1768
242,0.8203038162282327,-7
243,1.0,325
244,0.9375,406
245,0.9295774647887324,262
246,0.9166666666666666,624
247,1.0,3823
248,1.0,1567
249,1.0,1694
250,1.0,1899
251,1.0,3636
252,0.0,998
253,1.0,4625
254,1.0,2316
255,1.0,570
256,0.7058823529411765,-90
257,1.0,1766
258,0.6666666666666666,-95
259,1.0,734
260,1.0,4358
261,1.0,691
262,1.0,2308
263,1.0,1415
264,1.0,1776
265,1.0,1908
266,1.0,1986
267,1.0,6712
268,1.0,1508
269,1.0,6070
270,1.0,2998
271,0.0,1174
272,0.5833333333333334,-107
273,0.9101283880171184,50
274,0.9238095238095239,94
275,0.9245283018867925,149
276,0.95,421
277,0.7586206896551724,-79
278,0.75,1038
279,1.0,1816
280,0.0,2477
281,1.0,4273
282,1.0,3660
283,1.0,2162
284,1.0,1949
285,1.0,1895
286,1.0,6719
287,1.0,2772
288,1.0,2710
289,0.8152994464016105,-13
290,0.9545454545454546,264
291,1.0,961
292,1.0,2841
293,1.0,1210
294,1.0,638
295,1.0,2119
296,0.6,1110
297,1.0,1632
298,1.0,1064
299,0.6666666666666666,600
300,1.0,1789
301,1.0,3849
302,0.0,-221
303,1.0,4159
304,1.0,876
305,0.875,650
306,0.95,229
307,1.0,3737
308,0.5454545454545454,-116
309,1.0,3687
310,1.0,2196
311,1.0,1376
312,1.0,2153
313,1.0,1185
314,1.0,1119
315,1.0,1969
316,1.0,1930
317,1.0,1485
318,1.0,1559
319,1.0,5658
320,1.0,1212
321,0.9293286219081273,110
322,0.8842105263157894,190
323,0.9285714285714286,275
324,0.8095238095238095,439
325,0.9428571428571428,343
326,1.0,737
327,0.5714285714285714,706
328,1.0,629
329,0.6666666666666666,902
330,0.6666666666666666,2530
331,1.0,3410
332,1.0,3054
333,1.0,3796
334,1.0,1967
335,1.0,5528
336,1.0,2215
337,0.9024390243902439,136
338,0.9110320284697508,57
339,0.7944111776447106,-26
340,0.8181818181818182,513
341,1.0,1607
342,1.0,828
343,1.0,936
344,1.0,1407
345,1.0,2377
346,1.0,2982
347,1.0,1213
348,0.9308176100628931,144
349,0.9655172413793104,388
350,0.8,-172
351,0.9142857142857143,412
352,0.0,-204
353,0.9523809523809523,417
354,0.684931506849315,-61
355,1.0,4802
356,1.0,5104
357,1.0,2623
358,1.0,14019
359,1.0,2041
360,1.0,4319
361,1.0,1710
362,1.0,2526
363,1.0,9253
364,1.0,1571
365,1.0,4229
366,0.0,5046
367,1.0,1911
368,1.0,963
369,0.75,909
370,1.0,1025
371,1.0,2212
372,1.0,3405
373,1.0,1549
374,1.0,2235
375,1.0,1771
376,0.6666666666666666,1283
377,1.0,1240
378,1.0,2939
379,1.0,1256
380,1.0,1219
381,1.0,3210
382,1.0,4167
383,0.9074307304785895,32
384,0.8972565895642819,43
385,0.8193548387096774,-41
386,0.75,1108
387,0.8461538461538461,555
388,1.0,696
389,0.5,1073
390,0.8461538461538461,420
391,1.0,2667
392,0.5,1051
393,1.0,1134
394,1.0,1089
395,0.8888888888888888,752
396,1.0,2077
397,1.0,2112
398,1.0,7271
399,1.0,1128
400,1.0,3863
401,0.891500904159132,84
402,0.84375,378
403,1.0,5305
404,1.0,2012
405,0.0,-391
406,1.0,1233
407,0.0,2995
408,1.0,4487
409,1.0,2821
410,1.0,5891
411,0.9230769230769231,212
412,1.0,-154
413,0.7142857142857143,766
414,1.0,7689
415,1.0,3828
416,1.0,1362
417,1.0,779
418,1.0,3067
419,1.0,4128
420,1.0,970
421,0.904156064461408,31
422,0.9230769230769231,376
423,1.0,958
424,1.0,1991
425,0.8333333333333334,-108
426,1.0,1434
427,1.0,1361
428,1.0,516
429,1.0,1722
430,1.0,1811
431,1.0,662
432,1.0,4069
433,1.0,2894
434,0.8992537313432836,119
435,0.6666666666666666,974
436,0.5,-111
437,0.88,395
438,1.0,7842
439,1.0,5505
440,1.0,2130
441,1.0,768
442,1.0,4831
443,1.0,3731
444,1.0,2137
445,1.0,5221
446,0.9024390243902439,326
447,0.6666666666666666,-145
448,0.9230769230769231,596
449,0.8157894736842105,386
450,0.8571428571428571,450
451,1.0,1069
452,1.0,595
453,0.75,1444
454,1.0,2923
455,1.0,6637
456,1.0,894
457,1.0,1513
458,1.0,4860
459,0.751937984496124,-50
460,0.9050772626931567,39
461,0.9168900804289544,98
462,0.9252336448598131,187
463,1.0,1918
464,0.9411764705882353,496
465,1.0,4296
466,0.8235294117647058,561
467,1.0,1733
468,1.0,845
469,1.0,-337
470,1.0,1297
471,1.0,3974
472,0.9479166666666666,201
473,0.9285714285714286,402
474,0.9625,232
475,1.0,1252
476,1.0,2185
477,1.0,990
478,1.0,-168
479,1.0,2022
480,1.0,1141
481,1.0,1975
482,0.8888888888888888,773
483,1.0,1269
484,1.0,966
485,1.0,962
486,1.0,5757
487,1.0,1624
488,1.0,1282
489,1.0,3246
490,1.0,1639
491,1.0,1612
492,0.8526315789473684,203
493,1.0,2527
494,0.7142857142857143,700
495,1.0,11223
496,1.0,1850
497,1.0,3114
498,1.0,2922
499,0.6666666666666666,1482
500,1.0,2348
501,1.0,1891
502,1.0,3110
503,1.0,3575
504,0.9054726368159204,145
505,0.9301470588235294,116
506,0.8571428571428571,488
507,1.0,1530
508,1.0,2168
509,0.6666666666666666,-158
510,1.0,2247
511,1.0,5070
512,1.0,1942
513,1.0,3183
514,1.0,6349
515,0.9029596412556053,25
516,0.9,814
517,0.0,-246
518,0.7857142857142857,-98
519,1.0,1893
520,0.75,880
521,1.0,2016
522,1.0,1472
523,1.0,1757
524,1.0,-330
525,1.0,-235
526,0.0,-295
527,1.0,1312
528,1.0,1099
529,0.0,3275
530,1.0,1805
531,1.0,1452
532,1.0,1021
533,1.0,3827
534,1.0,948
535,0.0,2043
536,0.9178082191780822,157
537,0.8333333333333334,1048
538,1.0,-195
539,1.0,5758
540,1.0,8436
541,0.6666666666666666,1347
542,0.0,3474
543,1.0,1897
544,1.0,5940
545,0.8024296675191815,-15
546,0.8942307692307693,181
547,0.8765432098765432,124
548,1.0,1535
549,0.8666666666666667,-101
550,0.8387096774193549,363
551,1.0,1323
552,1.0,1149
553,0.5,1368
554,0.7692307692307693,586
555,1.0,1592
556,1.0,843
557,1.0,1441
558,1.0,1135
559,1.0,1712
560,1.0,2097
561,1.0,2384
562,1.0,9446
563,1.0,1016
564,0.7368421052631579,-88
565,1.0,686
566,1.0,1238
567,0.5454545454545454,-112
568,1.0,1935
569,1.0,852
570,0.0,4494
571,1.0,1737
572,1.0,7070
573,1.0,2715
574,0.8947368421052632,-71
575,0.907035175879397,95
576,0.8363636363636363,268
577,0.9583333333333334,227
578,0.8,925
579,0.9166666666666666,589
580,0.5,-149
581,1.0,1246
582,0.9166666666666666,562
583,1.0,699
584,1.0,1553
585,1.0,2297
586,0.8,760
587,0.9117647058823529,369
588,1.0,2522
589,0.9285714285714286,413
590,1.0,820
591,0.9285714285714286,455
592,0.75,915
593,0.3333333333333333,-202
594,1.0,912
595,1.0,-227
596,1.0,1721
597,1.0,4024
598,1.0,3569
599,0.9370816599732262,71
600,0.9038461538461539,143
601,1.0,642
602,0.7727272727272727,370
603,1.0,703
604,1.0,3545
605,1.0,790
606,1.0,621
607,1.0,1274
608,0.6666666666666666,1902
609,0.875,704
610,1.0,4651
611,1.0,1960
612,1.0,3884
613,1.0,6457
614,0.7828947368421053,-45
615,0.9484536082474226,193
616,0.9285714285714286,161
617,0.9375,443
618,0.90625,365
619,1.0,1669
620,1.0,2101
621,0.6666666666666666,1191
622,1.0,3513
623,1.0,2649
624,1.0,1934
625,1.0,2869
626,1.0,5211
627,1.0,5961
628,1.0,3534
