,Positive,comment_score
0,0.2631274131274131,26
1,0.25514213080656345,29
2,1.0,-279
3,0.5833333333333334,-91
4,0.0,1677
5,0.2857142857142857,474
6,0.0,2453
7,0.4,964
8,0.5,-251
9,0.0,1697
10,0.0,2509
11,0.0,1806
12,0.2599758162031439,65
13,0.23300970873786409,191
14,0.0,3391
15,0.1,418
16,0.18181818181818182,541
17,0.21428571428571427,558
18,0.0,3061
19,1.0,2812
20,0.0,1010
21,0.0,1224
22,0.0,1360
23,1.0,2173
24,0.0,1258
25,0.0,3806
26,0.0,1840
27,1.0,3280
28,0.0,1277
29,0.16981132075471697,293
30,0.3389830508474576,-58
31,0.32989690721649484,222
32,0.0,2581
33,0.2033898305084746,270
34,0.5,-109
35,0.0,1145
36,0.25,1127
37,0.0,938
38,0.0,1551
39,0.75,730
40,0.0,8872
41,0.0,1371
42,0.0,9632
43,0.0,1642
44,0.2153846153846154,243
45,0.10256410256410256,367
46,0.30612244897959184,278
47,0.42857142857142855,705
48,0.0,1532
49,0.3333333333333333,720
50,0.3157894736842105,442
51,0.0,1175
52,0.5,2944
53,0.5,2598
54,0.0,7303
55,0.3333333333333333,1202
56,0.0,2371
57,0.0,1690
58,0.0,6905
59,0.26041228439209085,19
60,0.24824355971896955,54
61,0.0,4552
62,0.0,1280
63,0.24444444444444444,296
64,0.6666666666666666,926
65,0.0,7233
66,0.0,1447
67,0.5,1217
68,0.5,1671
69,0.25,965
70,0.0,3081
71,1.0,-159
72,0.0,1951
73,0.2985596113837486,0
74,0.21875,348
75,0.34782608695652173,277
76,0.2711864406779661,287
77,0.0,-193
78,0.3333333333333333,415
79,0.25,847
80,1.0,1958
81,0.5,1077
82,1.0,2940
83,0.0,6361
84,0.0,1594
85,1.0,1336
86,0.3333333333333333,1921
87,0.0,656
88,0.3333333333333333,502
89,0.0,7234
90,0.5,1055
91,0.0,2244
92,0.0,2881
93,0.0,5126
94,0.0,1480
95,0.0,4108
96,0.0,2088
97,0.3243793243793244,-3
98,0.24567474048442905,113
99,0.2,167
100,0.27759197324414714,112
101,0.42209631728045327,-30
102,0.13513513513513514,385
103,0.2222222222222222,155
104,0.3191489361702128,299
105,0.3333333333333333,-118
106,0.0,831
107,1.0,2175
108,0.0,2403
109,0.25,-135
110,0.0,1882
111,0.2,736
112,1.0,2672
113,0.0,1042
114,0.0,1599
115,0.0,2364
116,0.0,2878
117,0.0,7139
118,0.3548387096774194,-35
119,0.3333333333333333,602
