,Negative,date
0,467,2016-10-31
1,4757,2016-11-01
2,6368,2016-11-02
3,5704,2016-11-03
4,5805,2016-11-04
5,4300,2016-11-05
6,5511,2016-11-06
7,6494,2016-11-07
8,13703,2016-11-08
9,12762,2016-11-09
10,9768,2016-11-10
11,8999,2016-11-11
12,6823,2016-11-12
13,7087,2016-11-13
14,7212,2016-11-14
15,6951,2016-11-15
16,6747,2016-11-16
17,5958,2016-11-17
18,5617,2016-11-18
19,4247,2016-11-19
20,4813,2016-11-20
21,5924,2016-11-21
22,5454,2016-11-22
23,5659,2016-11-23
24,3995,2016-11-24
25,4171,2016-11-25
26,3980,2016-11-26
27,4078,2016-11-27
28,4910,2016-11-28
29,5378,2016-11-29
30,5192,2016-11-30
31,4726,2016-12-01
32,4911,2016-12-02
33,3677,2016-12-03
34,3572,2016-12-04
35,4680,2016-12-05
36,5397,2016-12-06
37,4886,2016-12-07
38,4558,2016-12-08
39,5279,2016-12-09
40,4315,2016-12-10
41,4723,2016-12-11
42,5682,2016-12-12
43,5354,2016-12-13
44,5861,2016-12-14
45,5334,2016-12-15
46,5059,2016-12-16
47,3164,2016-12-17
48,3538,2016-12-18
49,6062,2016-12-19
50,4929,2016-12-20
51,5116,2016-12-21
52,4112,2016-12-22
53,3905,2016-12-23
54,2956,2016-12-24
55,2120,2016-12-25
56,2535,2016-12-26
57,3229,2016-12-27
58,3619,2016-12-28
59,3501,2016-12-29
60,3324,2016-12-30
61,2657,2016-12-31
62,2649,2017-01-01
63,3011,2017-01-02
64,3561,2017-01-03
65,4224,2017-01-04
66,4229,2017-01-05
67,4504,2017-01-06
68,2847,2017-01-07
69,2914,2017-01-08
70,4151,2017-01-09
71,5615,2017-01-10
72,7773,2017-01-11
73,5668,2017-01-12
74,5091,2017-01-13
75,3890,2017-01-14
76,3904,2017-01-15
77,4631,2017-01-16
78,4884,2017-01-17
79,4528,2017-01-18
80,4935,2017-01-19
81,7612,2017-01-20
82,5299,2017-01-21
83,4861,2017-01-22
84,5918,2017-01-23
85,5952,2017-01-24
86,6457,2017-01-25
87,6452,2017-01-26
88,5523,2017-01-27
89,6399,2017-01-28
90,5763,2017-01-29
91,7927,2017-01-30
92,6842,2017-01-31
93,7171,2017-02-01
94,8144,2017-02-02
95,5650,2017-02-03
96,3814,2017-02-04
97,3806,2017-02-05
98,4978,2017-02-06
99,6220,2017-02-07
100,5534,2017-02-08
101,5060,2017-02-09
102,4532,2017-02-10
103,3466,2017-02-11
104,3699,2017-02-12
105,5193,2017-02-13
106,5900,2017-02-14
107,5835,2017-02-15
108,6237,2017-02-16
109,5755,2017-02-17
110,4078,2017-02-18
111,4076,2017-02-19
112,4113,2017-02-20
113,4579,2017-02-21
114,5068,2017-02-22
115,5141,2017-02-23
116,4787,2017-02-24
117,3996,2017-02-25
118,3386,2017-02-26
119,4400,2017-02-27
120,5488,2017-02-28
121,4756,2017-03-01
122,4778,2017-03-02
123,3798,2017-03-03
124,3315,2017-03-04
125,3077,2017-03-05
126,4739,2017-03-06
127,4756,2017-03-07
128,3867,2017-03-08
129,3859,2017-03-09
130,3175,2017-03-10
131,2435,2017-03-11
132,2481,2017-03-12
133,3981,2017-03-13
134,4728,2017-03-14
135,4628,2017-03-15
136,4436,2017-03-16
137,4149,2017-03-17
138,2953,2017-03-18
139,2997,2017-03-19
140,4994,2017-03-20
141,4191,2017-03-21
142,4800,2017-03-22
143,5130,2017-03-23
144,5867,2017-03-24
145,3306,2017-03-25
146,3150,2017-03-26
147,3941,2017-03-27
148,4014,2017-03-28
149,3956,2017-03-29
150,5542,2017-03-30
151,3997,2017-03-31
152,2708,2017-04-01
153,2688,2017-04-02
154,4212,2017-04-03
155,4368,2017-04-04
156,4360,2017-04-05
157,5474,2017-04-06
158,4619,2017-04-07
